Property name,Type, Default value \/ mandatory,Description
"gateway.credential.path","filesystem path"," *mandatory* ","Credential location. In case of 'jks', 'pkcs12' and 'pem' store it is the only location required. In case when credential is provided in two files, it is the certificate file path."
"gateway.credential.format","[jks, pkcs12, der, pem]","","Format of the credential. It is guessed when not given. Note that 'pem' might be either a PEM keystore with certificates and keys (in PEM format) or a pair of PEM files (one with certificate and second with private key)."
"gateway.credential.password","string","","Password required to load the credential."
"gateway.credential.keyPath","string","","Location of the private key if stored separately from the main credential (applicable for 'pem' and 'der' types only),"
"gateway.credential.keyPassword","string","","Private key password, which might be needed only for 'jks' or 'pkcs12', if key is encrypted with different password then the main credential password."
"gateway.credential.keyAlias","string","","Keystore alias of the key entry to be used. Can be ignored if the keystore contains only one key entry. Only applicable for 'jks' and 'pkcs12'."
